Code,Name,Geography,senior,hectare,density
E09000007,Camden,London Borough,25378,2178.932,11.64699036
E09000001,City of London,London Borough,1300,314.942,4.127744156
E09000012,Hackney,London Borough,21266,1904.902,11.1638289
E09000013,Hammersmith and Fulham,London Borough,19446,1715.409,11.33607204
E09000014,Haringey,London Borough,28609,2959.837,9.665734971
E09000019,Islington,London Borough,20698,1485.664,13.93181769
E09000020,Kensington and Chelsea,London Borough,21287,1238.379,17.18940647
E09000022,Lambeth,London Borough,28344,2724.94,10.40169692
E09000023,Lewisham,London Borough,29596,3531.706,8.380085998
E09000025,Newham,London Borough,26261,3857.806,6.807237067
E09000028,Southwark,London Borough,26854,2991.34,8.977247655
E09000030,Tower Hamlets,London Borough,18400,2157.501,8.528385387
E09000032,Wandsworth,London Borough,32313,3522.022,9.174559387
E09000033,Westminster,London Borough,25498,2203.005,11.57419071
E09000002,Barking and Dagenham,London Borough,19429,3779.934,5.140036837
E09000003,Barnet,London Borough,57672,8674.837,6.648194081
E09000004,Bexley,London Borough,41477,6428.649,6.451899925
E09000005,Brent,London Borough,40672,4323.27,9.407693713
E09000006,Bromley,London Borough,58788,15013.487,3.915679282
E09000008,Croydon,London Borough,54468,8649.441,6.29728557
E09000009,Ealing,London Borough,46090,5554.428,8.297884139
E09000010,Enfield,London Borough,46006,8220.025,5.596819961
E09000011,Greenwich,London Borough,30904,5044.19,6.126652644
E09000015,Harrow,London Borough,41194,5046.33,8.163160158
E09000016,Havering,London Borough,46455,11445.735,4.058717068
E09000017,Hillingdon,London Borough,41897,11570.063,3.621155736
E09000018,Hounslow,London Borough,34936,5658.541,6.174029666
E09000021,Kingston upon Thames,London Borough,24901,3726.117,6.682828263
E09000024,Merton,London Borough,27829,3762.466,7.396478799
E09000026,Redbridge,London Borough,38975,5644.225,6.905288149
E09000027,Richmond upon Thames,London Borough,32323,5876.111,5.500747008
E09000029,Sutton,London Borough,32184,4384.698,7.340072224
E09000031,Waltham Forest,London Borough,29105,3880.793,7.499755849
,,,1070555,159469.725,6.713217822
